Time, Temperature, Humidity
0,1579418971.414977,16.100000381469727,41.5
0,1579418971.963486,16.200000762939453,41.5
0,1579418972.501371,16.100000381469727,41.400001525878906
0,1579418973.043472,16.100000381469727,41.400001525878906
0,1579418973.58573,16.100000381469727,41.400001525878906
0,1579418974.14327,16.100000381469727,41.400001525878906
0,1579418974.685514,16.100000381469727,41.400001525878906
0,1579418975.227659,16.100000381469727,41.400001525878906
0,1579418975.769929,16.100000381469727,41.400001525878906
0,1579418976.312031,16.100000381469727,41.400001525878906
0,1579418976.854163,16.100000381469727,41.400001525878906
0,1579418977.396326,16.100000381469727,41.400001525878906
0,1579418980.471344,16.100000381469727,41.400001525878906
0,1579418981.013518,16.100000381469727,41.400001525878906
0,1579418981.555673,16.100000381469727,41.400001525878906
0,1579418982.097786,16.100000381469727,41.400001525878906
0,1579418982.639951,16.100000381469727,41.400001525878906
0,1579418983.18211,16.100000381469727,41.400001525878906
0,1579418983.724275,16.100000381469727,41.400001525878906
0,1579418984.266322,16.100000381469727,41.400001525878906
0,1579418984.808392,16.100000381469727,41.400001525878906
0,1579418987.87751,16.100000381469727,41.400001525878906
0,2020-01-19 08:40:11.104615,16.100000381469727,41.400001525878906
0,2020-01-19 08:40:11.659242,16.100000381469727,42.099998474121094
0,2020-01-19 08:40:12.217214,16.0,42.0
0,2020-01-19 08:40:15.286635,16.0,42.0
0,2020-01-19 08:40:15.828833,16.0,42.099998474121094
0,2020-01-19 08:40:16.370919,16.0,42.099998474121094
0,2020-01-19 08:40:16.913018,16.0,42.0
0,2020-01-19 08:40:17.462926,16.0,42.0
0,2020-01-19 08:40:18.005177,16.0,42.0
0,2020-01-19 08:40:18.547258,16.0,42.0
0,2020-01-19 08:40:19.089378,16.0,42.0
0,2020-01-19 08:40:19.631409,16.0,42.0
0,2020-01-19 08:40:20.173458,16.0,42.0
0,2020-01-19 08:40:20.715561,16.0,42.0
0,2020-01-19 08:40:21.257627,16.0,42.0
0,2020-01-19 08:40:21.799696,16.0,42.0
0,2020-01-19 08:40:22.341710,16.0,41.900001525878906
0,2020-01-19 08:40:22.894975,16.0,41.900001525878906
0,2020-01-19 08:40:23.437240,16.0,41.900001525878906
0,2020-01-19 08:40:23.979362,16.0,41.900001525878906
0,2020-01-19 08:40:24.521379,16.0,41.900001525878906
0,2020-01-19 08:43:20.356445,16.0,41.900001525878906
0,2020-01-19 08:43:20.906209,16.0,42.5
0,2020-01-19 08:43:21.444496,16.0,42.5
0,2020-01-19 08:43:21.987126,16.0,42.5
